0.588235294	-0.014166667	-0.024166667	-0.039166667
1.176470588	-0.014833333	-0.024833333	-0.039583333
1.81372549	-0.015166667	-0.025833333	-0.04
2.411764706	-0.015666667	-0.02625	-0.040416667
3.039215686	-0.01625	-0.026666667	-0.040833333
3.62745098	-0.0175	        -0.0275	        -0.04125
4.215686275	-0.019166667	-0.027666667	-0.041666667
4.823529412	-0.020166667	-0.029333333	-0.042083333
5.441176471	-0.022672	-0.030416667	-0.0425
6.078431373	-0.02496	-0.031833333	-0.044083333
6.666666667	-0.027872	-0.033333333	-0.044833333
7.303921569	-0.030368	-0.035	        -0.045166667
7.931372549	-0.032864	-0.036666667	-0.045833333
8.529411765	-0.03536	-0.038333333	-0.046
